state,x,y
São Paulo,50,-119
Paraná,6,-157
Rio de Janeiro,144,-119
Santa Catarina,33,-199
Rio Grande do Sul,-15,-231
Mato Grosso do Sul,-42,-89
Goiás,35,-28
Minas Gerais,112,-63
Espírito Santo,167,-80
Bahia,148,35
Sergipe,213,57
Alagoas,227,69
Pernambuco,206,89
Paraíba,230,107
Rio Grande do Norte,226,129
Ceará,180,141
Piauí,138,103
Maranhão,98,142
Tocantins,52,61
Mato Grosso,-52,15
Rondônia,-163,55
Pará,-12,142
Amapá,6,239
Roraima,-141,249
Amazonas,-187,154
Acre,-279,81
Distrito Federal,61,-21